university_name,teaching,research,income,1,2,3,Cluster
University of Arkansas,25.5,17.4,36.9,66.81261966148239,2.3669647244352325,43.364081158316615,2
Auburn University,30.2,19.4,37.2,62.64816174578699,5.228848376081917,41.76639418064741,2
Babeş-Bolyai University,27.9,12.5,28.6,72.3070352790735,10.308329995972494,52.44309629989331,2
University of the Basque Country,18.2,11.9,30.3,77.22010866461197,11.61733161279267,53.10700010950529,2
Bauman Moscow State Technical University,44.0,23.7,68.1,50.63757475783378,37.685597701820704,16.21746593558134,3
Ben-Gurion University of the Negev,25.1,21.3,28.7,67.04411783587989,7.273232786671544,49.99997979149105,2
Boğaziçi University,21.2,17.2,35.5,69.83016575695893,4.5711610625432835,45.698028743058124,2
University of Canberra,18.4,19.3,36.2,69.77458716108453,6.800110025999175,45.24925595338225,2
Carleton University,19.9,24.0,30.4,67.53698318578593,8.784383032096423,48.99903605893763,2
University of Catania,19.2,15.9,29.5,73.9829620666163,9.33088799229039,52.091927090849715,2
Central Queensland University,20.9,11.4,32.5,75.35974046783402,9.658278887387207,50.66152584922543,2
China Agricultural University,35.8,24.9,52.3,52.08376132944581,20.426233776206168,25.64939638091065,2
Chung-Ang University,29.9,27.6,61.3,53.14780822878662,27.255289626144343,16.595607894010396,3
De Montfort University,16.8,10.1,28.5,79.98461374030963,14.478029353904901,55.80421842445541,2
East China Normal University,24.6,14.7,42.0,68.13966169146639,7.877879381228314,40.09733409307578,2
Edith Cowan University,18.9,16.1,34.5,72.3188355641544,7.21689617375701,47.64111569931418,2
Federal University of Rio de Janeiro,32.4,19.7,42.9,59.73406226118122,10.177904707204892,36.18781431746661,2
University of Granada,24.3,14.7,29.4,72.0908153935173,7.951565493762376,51.41760594749367,2
University of Haifa,25.5,29.5,30.3,60.44237324410169,11.44257310536743,47.12170587250316,2
Harbin Institute of Technology,29.4,27.3,99.8,68.64452874594447,64.69004170941378,24.238091720691088,3
University of Hertfordshire,15.5,9.5,29.3,80.89681663211863,15.288241969550993,55.77594378471277,2
Hiroshima University,27.8,18.9,42.2,62.95641637591336,7.000753973305672,37.57025687125039,2
Huazhong University of Science and Technology,29.3,22.7,71.8,59.19723517237946,36.45216336946839,12.03591452315853,3
Indian Institute of Technology Guwahati,24.3,20.7,32.3,66.51226901228398,3.760705601626547,46.86871239293583,2
Indian Institute of Technology Kanpur,33.1,15.0,28.0,68.2202934264177,11.91919376998208,51.76875700045092,2
Indian Institute of Technology Roorkee,29.7,17.5,81.4,66.13105190111509,45.934692127085604,16.562388713294382,3
Isfahan University of Technology,18.1,23.0,99.5,77.04958113616726,64.26235523060525,29.385902034968773,3
Istanbul Technical University,19.2,25.8,72.1,63.22993039563726,37.40586761810411,16.690522301745826,3
Jadavpur University,32.8,22.2,33.8,60.3064813117013,8.331112562955555,44.10454223564939,2
Kanazawa University,24.7,14.8,30.4,71.42976161814545,7.07723573130529,50.39296299971113,2
Kansas State University,22.9,17.5,43.1,66.65356940708128,7.954700848961204,38.37650971190624,2
Keio University,25.0,17.5,41.4,65.81529833881704,5.994074762891344,39.35467285400568,2
Kent State University,18.4,14.2,28.5,76.05188464514272,11.208694379767337,53.786843165109,2
University of La Laguna,16.9,10.0,28.5,80.0024118703058,14.485278431479642,55.81497457275172,2
Lappeenranta University of Technology,27.1,27.5,80.3,59.61544638124186,45.336001059777985,9.232184920633873,3
University of Limerick,19.8,16.3,34.0,71.79232768690956,6.463054155371689,47.74539940491334,2
University of Lisbon,25.9,18.3,35.4,66.35912064680977,1.3802176057417261,44.36676911125868,2
Liverpool John Moores University,16.4,11.6,28.8,78.99913299207644,13.655958930606532,55.07253918008599,2
Mahidol University,26.8,15.1,71.6,66.62941209157152,36.168004828698685,19.668182085717188,3
Manchester Metropolitan University,22.7,10.6,28.3,76.4802006128968,11.805056527334301,54.285421082574985,2
Masaryk University,21.2,22.9,28.5,68.25299588468422,8.952180689683239,50.66230954841225,2
Massey University,23.1,17.1,35.8,68.71698112859363,3.127497394953109,44.97997061945786,2
Memorial University of Newfoundland,18.1,15.8,48.3,70.05223439420234,14.879138460373278,36.507200424754835,2
Middle East Technical University,29.9,17.3,60.0,61.52939841182807,24.817140663756366,23.045465077342204,3
University of Minho,23.9,20.1,51.6,62.77398645096204,15.93688005659654,29.700272749113577,2
Missouri University of Science and Technology,23.5,18.4,52.8,64.27677915702519,17.18489449865193,29.627075602886396,2
Montana State University,17.7,21.8,43.0,66.71762290632712,10.69875385138531,38.791148969948985,2
Monterrey Institute of Technology and Higher Education,23.9,12.7,75.8,71.15029655768676,40.65298898555568,22.39711905831825,3
National Central University,26.3,23.2,75.3,61.4910268819261,39.765825756233156,12.196549963058054,3
National Sun Yat-Sen University,26.1,33.0,44.3,52.87275816210515,16.074512680145443,33.16158388581858,2
National Taiwan Normal University,26.2,31.3,81.9,58.22559472405296,47.68284735901508,9.275693918410582,3
National Technical University of Athens,20.2,15.0,40.3,70.80408402560266,8.084894152659745,42.62002895398364,2
New Jersey Institute of Technology,18.9,16.6,32.2,72.69516980030353,7.742352209323463,49.518535787691874,2
New Mexico State University,19.5,19.2,34.6,69.65592374159546,5.7981724757032085,46.364792452350244,2
University of North Carolina at Greensboro,18.2,15.3,28.9,75.22166841437347,10.604893272586928,53.1133795786017,2
Oklahoma State University,27.5,22.7,33.7,62.7186488782582,4.490569486647904,44.50217865538091,2
Osaka City University,26.3,13.4,40.7,68.57671020233094,7.896166480238618,41.47810820940362,2
Otto von Guericke University of Magdeburg,22.9,14.4,37.7,70.37264238773696,5.866757775214972,44.36663387470067,2
University of Oviedo,19.5,10.8,34.1,76.10260275463581,10.46229905393168,49.918021475599396,2
Palacký University in Olomouc,19.2,11.8,28.7,77.29748823990711,11.976902655544775,54.27109367590765,2
Panjab University,24.6,8.8,28.1,77.00616468206913,13.098993591792913,54.87818072686314,2
Paris Dauphine University,21.9,11.1,30.6,75.68678244975253,10.32019225405063,52.21314842104814,2
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),24.5,24.1,100.0,73.17992269597543,64.44404351240651,26.61190727436033,3
Portland State University,16.8,14.4,44.6,72.47522801723623,13.20178053090594,40.59101133713889,2
University of Pretoria,25.6,21.2,52.4,60.81149523945961,16.76981162195272,28.029851439886535,2
Pusan National University,27.5,24.7,66.8,57.594715089762076,31.599628781059085,14.144392210391029,3
University of Regina,15.6,15.8,34.4,74.58598580537783,10.333589771336747,48.95367100714144,2
University of Rennes 1,17.8,10.3,31.7,78.18728289351706,12.41494483838142,52.676508024621675,2
University of Salamanca,26.1,16.9,31.6,68.64150893183759,4.929663460702025,48.32745536558362,2
University of Santiago de Compostela,22.9,14.1,32.3,72.2553770976519,6.737933231261854,49.282268405071555,2
Semmelweis University,19.6,10.6,30.7,77.28188117584934,11.595786544968128,52.89942289016466,2
University of Seville,21.5,14.9,36.7,71.05227670911027,5.919899856789194,45.39858434611145,2
Université de Sherbrooke,25.6,9.5,29.6,75.41477916903449,11.6784830543682,53.08595456184344,2
Soochow University,19.2,13.7,75.3,72.88714581836757,40.42926080012256,24.02251986430651,3
South China University of Technology,19.5,22.1,86.8,70.54325427950683,51.45551601960986,20.491562343990978,3
Tallinn University of Technology,16.3,15.0,44.8,72.30184221023526,13.447275984690327,40.37562220001575,2
Tehran University of Medical Sciences,51.8,20.0,30.0,57.312913042800304,27.232966145531154,51.627397061033996,2
University of Texas at Arlington,20.1,10.1,33.4,76.52342818831728,10.87870776749155,50.66093075611067,2
Tokyo University of Agriculture and Technology,34.9,24.1,39.9,55.66165430965678,11.559260199757418,37.74075380365413,2
University of Toledo,31.6,13.4,32.9,68.28308899292301,9.250684924878316,47.868466941167675,2
Tongji University,28.9,29.2,63.5,52.75478053145013,29.672640578987874,14.395410067148834,3
University of Tulsa,29.7,12.9,71.7,67.01046493712863,36.83751340415899,20.91618674707242,3
United Arab Emirates University,18.8,14.8,30.1,74.79947169136297,9.689056773082678,52.03495030480559,2
University of Warsaw,26.1,15.8,28.5,70.67235363079858,8.141953751748394,51.57903659614583,2
University of Wisconsin-Milwaukee,17.3,13.8,29.0,76.79718086885349,11.795475764141374,53.80535063473977,2
Xi’an Jiaotong University,28.7,22.5,70.4,59.3534471467208,34.98389434992998,13.0351141679596,3
University of Zaragoza,20.1,12.7,36.7,73.55090361877504,8.49106119971577,46.69925585775466,2
University of A Coruña,18.3,10.0,38.2,76.29482921736577,11.934937606956051,47.238788768708915,2
Adam Mickiewicz University,20.0,11.0,28.7,77.45915986656918,12.139433897017343,54.380109870428576,2
Ajou University,19.5,11.9,45.7,72.606030494045,13.727690549349008,39.915860319870866,2
University of Alcalá,17.6,11.2,43.3,74.68335084219143,13.512458662313719,42.83106411500407,2
